ID,REG_NO,NAME,CONTACT,EMAIL,COURSE,BRANCH,INTERNSHIP,PLACEMENT,RESUME,ADVICE,DOB,STATE,ABOUT,PROFILEPICTURE,HOBBY,LANGUAGES,SKILLS,TWELFTH,12_YEAR,12_RESULT,TENTH,10_YEAR,10_RESULT,EXTRA_CURRICULAR,CLUBS,CGPA,CERTIFICATES,INTERN_COMP,INTERN_PERIOD,PLACE_COMP,PLACE_PERIOD
BT112,2000/512,Misha,9090909790,bb3hh7@gmail.com,w,e,e,e,NULL,ds,2006-02-13,MP,"hii all!",user_BT112.jpg,,"w, k",,f,2020,4,g,2022,8,,,9.23,,,,,
BTBTC21300,2001,"Aarti Sharma",98765432108,btbtc21300_aarti@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-01-22,"Uttar pradesh",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21301,2002,"Priya patel",9878476822,btbtc21300_priya@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-09-07,"Uttar pradesh",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21303,2004,"Neha Verma",7988476822,btbtc21300_neha@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-10-23,Bihar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21304,2005,"Sanya singh",7589472910,btbtc21300_sanya@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-02-01,Jharkhand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21305,2006,"Pooja Joshi",8779287654,btbtc21300_pooja@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-07-05,"Himachal pradesh",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21306,2007,"Kavya Mehta",7589263210,btbtc21300_kavya@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-07-21,Gujarat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21307,2008,"Sneha kapoor",8926321075,btbtc21300_sneha@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-08-15,"Tamil Nadu",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21308,2009,"Swati Bhat",7892345120,btbtc21300_swati@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-08-16,Uttarakhand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BTBTC21309,2010,"Anu Rao",8972102266,btbtc21300_anu@banasthali.in,Btech,"Computer science",NULL,NULL,NULL,NULL,2003-10-10,Sikkim,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
